zip_cd,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered
46001,3854,3651,204,7709
46011,7621,7288,444,15353
46012,8147,7760,459,16366
46013,7556,7131,510,15197
46016,4491,4109,534,9134
46017,2462,2336,144,4942
46030,1210,1144,89,2443
46031,823,791,91,1705
46032,32377,30808,2564,65749
46033,25168,24108,1987,51263
46034,3374,3230,269,6873
46035,386,362,29,777
46036,3776,3553,374,7703
46037,27481,26044,2136,55661
46038,24631,23377,1868,49876
46039,206,201,12,419
46040,8092,7661,647,16400
46041,8036,7370,645,16051
46044,1096,1046,51,2193
46045,0,0,0,0
46047,0,0,0,0
46048,609,570,56,1235
46049,283,267,24,574
46050,575,536,54,1165
46051,1119,1064,72,2255
46052,9849,9259,690,19798
46055,7731,7348,604,15683
46056,887,843,81,1811
46057,317,298,15,630
46058,980,918,33,1931
46060,21948,20629,1481,44058
46062,20610,19686,1501,41797
46063,98,91,6,195
46064,8727,8253,507,17487
46065,1242,1142,68,2452
46068,914,875,71,1860
46069,2700,2543,259,5502
46070,773,741,51,1565
46071,1219,1158,99,2476
46072,3634,3470,218,7322
46074,24715,23537,1797,50049
46075,4071,3863,331,8265
46076,461,430,28,919
46077,21271,20241,1786,43298
46103,94,91,0,188
46104,359,344,13,716
46105,583,549,54,1186
46106,3856,3652,299,7807
46107,5100,4740,456,10296
46110,198,186,15,399
46111,85,79,11,175
46112,20736,19670,1854,42260
46113,5653,5185,576,11414
46115,665,638,47,1350
46117,239,228,9,476
46118,1834,1750,138,3722
46120,1778,1692,249,3719
46121,1824,1752,150,3726
46122,7222,6858,512,14592
46123,21380,20246,1599,43225
46124,2946,2735,155,5836
46125,0,0,0,0
46126,1717,1642,130,3489
46127,145,143,0,290
46128,674,633,75,1382
46130,958,931,74,1963
46131,13781,12889,800,27470
46133,254,243,16,513
46135,7082,6701,1031,14814
46140,18729,17890,1080,37699
46142,15374,14523,1223,31120
46143,29305,27425,2212,58942
46144,50,46,6,102
46146,65,61,0,129
46147,1013,967,100,2080
46148,1855,1759,91,3705
46149,757,724,68,1549
46150,307,296,14,617
46151,11275,10712,1112,23099
46155,44,43,0,90
46156,421,410,19,850
46157,1333,1262,131,2726
46158,9362,8868,929,19159
46160,2197,2076,139,4412
46161,895,851,82,1828
46162,210,195,23,428
46163,6763,6511,501,13775
46164,1671,1591,99,3361
46165,551,525,25,1101
46166,563,520,55,1138
46167,3076,2940,330,6346
46168,18338,17244,1262,36844
46171,589,569,51,1209
46172,711,670,67,1448
46173,3952,3777,163,7892
46175,155,148,9,312
46176,11602,10954,674,23230
46180,325,317,21,663
46181,1946,1827,118,3891
46182,728,697,36,1461
46183,0,0,0,0
46184,4918,4629,403,9950
46186,574,550,34,1158
46201,10621,9626,1355,21602
46202,11188,10581,1203,22972
46203,13426,12343,1452,27221
46204,4746,4427,759,9932
46205,13087,12243,1412,26742
46208,9389,8745,970,19104
46214,9984,9075,1188,20247
46216,1327,1274,110,2711
46217,16478,15367,1318,33163
46218,8849,7930,861,17640
46219,15176,14086,1427,30689
46220,21992,21060,2062,45114
46221,8603,7847,1128,17578
46222,11220,9952,1695,22867
46224,13291,11828,1966,27085
46225,2344,2126,275,4745
46226,14703,13336,1330,29369
46227,24385,22143,1753,48281
46228,8232,7790,699,16721
46229,10419,9577,924,20920
46231,4801,4439,401,9641
46234,12581,11793,1313,25687
46235,10052,8976,888,19916
46236,14769,13838,1249,29856
46237,21166,19789,1553,42508
46239,13805,12923,1197,27925
46240,11812,11165,959,23936
46241,9662,8600,1270,19532
46250,10217,9632,815,20664
46254,15143,13766,1536,30445
46256,12852,12227,1088,26167
46259,6868,6540,607,14015
46260,16852,15823,1142,33817
46268,12820,11972,945,25737
46278,5507,5246,492,11245
46280,4251,4034,356,8641
46290,146,139,7,292
46301,499,472,27,998
46303,6312,5879,306,12497
46304,12876,12175,926,25977
46307,32066,30171,1685,63922
46310,4819,4475,352,9646
46311,10781,9807,580,21168
46312,8003,7211,928,16142
46319,7012,6436,550,13998
46320,4483,4054,269,8806
46321,13798,12284,690,26772
46322,11193,10074,566,21833
46323,7693,6967,609,15269
46324,7599,6846,549,14994
46327,3616,3237,247,7100
46340,444,407,17,868
46341,3892,3667,294,7853
46342,12684,11817,965,25466
46345,83,77,0,161
46346,386,342,33,761
46347,1730,1643,150,3523
46348,369,349,42,760
46349,897,848,39,1784
46350,18415,16908,1374,36697
46356,7066,6628,375,14069
46360,18981,17652,1354,37987
46365,386,353,27,766
46366,1764,1672,102,3538
46368,16081,14919,1210,32210
46371,1403,1273,92,2768
46373,8524,7853,531,16908
46374,348,326,23,697
46375,12295,11199,715,24209
46376,114,99,5,218
