name,globalid,shapearea,shapelen
Speedway,{FF7C3508-4A9C-40AB-96BE-0CA02F3A6E56},132776374.588416,54522.4733203398
Allisonville,{3C2FC136-DE1E-4781-BB3A-B8A216380010},125511046.591707,51059.2364552779
Keystone at the Crossing,{B848B34E-D772-4249-A5AA-A2763DBCA5F5},55678478.9564518,43249.7184319066
Mars Hill,{78DAEF5D-2138-4512-AE48-9E126FCBCDDE},174281472.532705,63498.0428863247
Glenns Valley,{9B657D71-875E-4877-BDDF-7D40C2D2CF2B},94159276.9172684,47272.4864242021
Snacks / Guion Creek,{5E40E231-6407-49AA-BC14-C5DE6D6922E6},223737464.15818,69211.9132816071
South Perry,{A4111E54-972A-4583-B7A7-4C76251A8AE1},176893218.988465,67514.7200837487
Martindale - Brightwood,{A1A6C24A-6BD5-4B24-938F-0053AFFD4DAB},124175867.261002,49911.2007885395
Nora / Far Northside,{E2BF19BC-C1C0-4318-B977-F7C47DF54DF5},90351521.5709619,45197.4835764882
Eagledale,{1E911532-39F4-438A-B8D5-8DC213E5AA13},115521243.705072,59558.5178322175
Ravenswood,{43AE7DAC-3993-42CB-A33F-5E1600388255},24711398.2785584,20277.1448053693
I-65 / South Emerson,{9D77F574-5D24-4BA5-A9E5-BA30A17A0DA8},136829996.424117,58781.9085778983
Near NW - Riverside,{5E2C31F4-A652-4A3D-805E-61B6EBE8BF93},92780585.9404493,41952.4880781568
Sunshine Gardens,{F535EE14-1E4C-4992-8B4C-8D97B005B839},85156504.0208521,44179.1678654736
Crown Hill,{48952719-6586-4B07-9223-EA615C21FE4D},37468801.716665,30093.0510241428
Maywood,{33791A90-C051-4FAF-BA8F-7299A74F9097},64890329.0964434,39884.0725819942
Linden Wood,{BBA12642-969F-46EB-8540-A6848039E08F},99952573.4704559,41016.7492009979
Clearwater,{26C291E5-DECC-4D1D-8A9F-6FC29D52801F},50654006.1027959,30611.6107886894
Arlington Woods,{402F6582-B1B7-4D89-AD56-8AE65B88813D},128599610.56808,50295.5447517309
Airport,{BAA9E46C-D595-4B87-B4B4-D7ED99DC95D4},241868986.017989,67933.2032923268
Acton,{37EE74ED-AB94-43DF-8B4B-9D4E15BF5752},186572504.603376,60685.0013602951
Devonshire,{E5C7839A-9D83-4382-9F2D-BE8E2219049B},87194177.1397276,44470.5850858711
College Park,{5D2E2E93-C151-4BBA-9928-E9974C069694},48997431.5579858,38077.5238113017
Edgewood,{C9A11A76-81BD-4818-9A53-8893D7CFF38C},93121668.4972772,40841.3434894009
Homecroft,{F4EA4638-221F-4FB9-B93C-41CDB635D842},75207630.0957168,43615.9353292855
Wanamaker,{2714185A-4989-46C9-818A-BE9F580E025D},32737391.6181522,25732.7455064459
Canterbury-Chatard,{5AC50CCB-2205-4185-A075-C52DDFFE6EAE},27748366.6771468,21343.391987346
East Warren,{B8362AA1-0392-44B8-B3DA-7099FBCB7772},212674850.860431,66719.8116227718
Glendale,{CBE05884-9728-4671-AABE-EAF0BC982475},50689645.1558905,28712.8240813091
Lawrence-Fort Ben-Oaklandon,{DE27D972-4DF3-4CC4-847C-DD8E9EB7C2D8},357029379.516433,100967.908719097
Crows Nest,{A2DA9130-E4C9-434B-B9CF-BE63397F1755},23310288.4570048,23570.3428125095
Devon,{FB6EBE50-6A20-4342-B3BB-ED1D19AD9A6E},34340578.4600555,25714.4965577133
Valley Mills,{6D5A90CD-F3FA-42BD-86AD-3FFCA38594B6},185480118.806093,59590.4005169451
Augusta / New Augusta,{1DF38A7D-123A-456F-958D-AC88A39B1C3B},160685412.981075,58918.8591415163
Christian Park,{9F9F0154-9C80-4A62-8599-9A4D387F4ACA},74202098.013881,36807.6270235211
Garden City,{0C0140AD-632F-417F-849C-2A5D6F31D289},105395657.409738,46714.0350575992
Castleton,{7B36B1B9-CE63-4D27-9CB5-B37721EBA6B7},122942502.305326,59312.9361272677
Northwest High School,{F6531902-7980-4CA0-89E0-405216B21611},81825636.285332,42843.0183765507
