objectid,zipcode,LAT,LNG
76,46206,39.7602,-86.1609
83,46235,39.836957,-85.974537
89,46239,39.721517,-85.999033
77,46260,39.898143,-86.177595
51,46113,39.636299,-86.302553
75,46205,39.829397,-86.134374
59,46234,39.813309,-86.326363
74,46259,39.650921,-85.981465
69,46278,39.892946,-86.29805
82,46229,39.788484,-85.977075
72,46203,39.737584,-86.09693
50,46222,39.790968,-86.21526
81,46208,39.819111,-86.171089
54,46256,39.908383,-86.013138
687,46228,39.848228,-86.200725
68,46107,39.716414,-86.091463
79,46241,39.729852,-86.285424
61,46183,39.652679,-86.281653
84,46218,39.807262,-86.099746
91,46220,39.867114,-86.108848
80,46250,39.898839,-86.05872
67,46240,39.906046,-86.124634
73,46202,39.784102,-86.163477
64,46225,39.740314,-86.163255
62,46219,39.782412,-86.042939
48,46231,39.715527,-86.32062
688,46268,39.898613,-86.233341
85,46227,39.674763,-86.132676
53,46226,39.838896,-86.052485
52,46201,39.774142,-86.1092
60,46237,39.671143,-86.07211
55,46254,39.849717,-86.271637
367,46204,39.771994,-86.156997
63,46236,39.895722,-85.967501
56,46216,39.871602,-86.011557
65,46221,39.691852,-86.238222
78,46217,39.674631,-86.191451
58,46224,39.795413,-86.25689
86,46214,39.792817,-86.291528
49,46077,39.984562,-86.282625
