IDWD Research and Analysis,,,,,,,,
,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,
,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Continued Claims,Pct. Change from Same~br~Week Last Year
"Marion County, IN",18,97,2019,January,1,1,"2,653",-15.30%
"Marion County, IN",18,97,2019,January,1,2,"2,703",-16.50%
"Marion County, IN",18,97,2019,January,1,3,"2,902",-11.80%
"Marion County, IN",18,97,2019,January,1,4,"3,006",-9.50%
"Marion County, IN",18,97,2019,February,2,5,"3,043",-9.40%
"Marion County, IN",18,97,2019,February,2,6,"3,074",-11.40%
"Marion County, IN",18,97,2019,February,2,7,"3,076",-13.20%
"Marion County, IN",18,97,2019,February,2,8,"2,962",-15.90%
"Marion County, IN",18,97,2019,March,3,9,"2,926",-13.60%
"Marion County, IN",18,97,2019,March,3,10,"2,904",-10.20%
"Marion County, IN",18,97,2019,March,3,11,"2,777",-12.10%
"Marion County, IN",18,97,2019,March,3,12,"2,705",-11.50%
"Marion County, IN",18,97,2019,March,3,13,"2,646",-13.80%
"Marion County, IN",18,97,2019,April,4,14,"2,438",-20.20%
"Marion County, IN",18,97,2019,April,4,15,"2,397",-18.50%
"Marion County, IN",18,97,2019,April,4,16,"2,328",-19.00%
"Marion County, IN",18,97,2019,April,4,17,"2,287",-19.80%
"Marion County, IN",18,97,2019,May,5,18,"2,275",-15.50%
"Marion County, IN",18,97,2019,May,5,19,"2,244",-15.20%
"Marion County, IN",18,97,2019,May,5,20,"2,276",-12.40%
"Marion County, IN",18,97,2019,May,5,21,"2,241",-12.30%
"Marion County, IN",18,97,2019,June,6,22,"2,187",-15.20%
"Marion County, IN",18,97,2019,June,6,23,"2,211",-12.30%
"Marion County, IN",18,97,2019,June,6,24,"2,238",-13.90%
"Marion County, IN",18,97,2019,June,6,25,"2,162",-19.80%
"Marion County, IN",18,97,2019,June,6,26,"2,065",-19.70%
"Marion County, IN",18,97,2019,July,7,27,"2,248",-14.30%
"Marion County, IN",18,97,2019,July,7,28,"2,252",-14.10%
"Marion County, IN",18,97,2019,July,7,29,"2,253",-11.80%
"Marion County, IN",18,97,2019,July,7,30,"2,254",-11.30%
"Marion County, IN",18,97,2019,August,8,31,"2,282",-8.80%
"Marion County, IN",18,97,2019,August,8,32,"2,235",-11.10%
"Marion County, IN",18,97,2019,August,8,33,"2,239",-5.80%
"Marion County, IN",18,97,2019,August,8,34,"2,245",-7.00%
"Marion County, IN",18,97,2019,August,8,35,"2,142",-11.10%
"Marion County, IN",18,97,2019,September,9,36,"2,152",-9.80%
"Marion County, IN",18,97,2019,September,9,37,"2,162",-7.90%
"Marion County, IN",18,97,2019,September,9,38,"2,159",-7.20%
"Marion County, IN",18,97,2019,September,9,39,"2,138",-7.90%
"Marion County, IN",18,97,2019,October,10,40,"2,148",-6.50%
"Marion County, IN",18,97,2019,October,10,41,"2,095",-7.20%
"Marion County, IN",18,97,2019,October,10,42,"2,161",-3.60%
"Marion County, IN",18,97,2019,October,10,43,"2,125",-6.10%
"Marion County, IN",18,97,2019,November,11,44,"2,109",-7.10%
"Marion County, IN",18,97,2019,November,11,45,"2,114",-7.50%
"Marion County, IN",18,97,2019,November,11,46,"2,148",2.70%
"Marion County, IN",18,97,2019,November,11,47,"2,073",-9.00%
"Marion County, IN",18,97,2019,November,11,48,"2,148",-4.10%
"Marion County, IN",18,97,2019,December,12,49,"2,182",-4.60%
"Marion County, IN",18,97,2019,December,12,50,"2,399",-1.80%
"Marion County, IN",18,97,2019,December,12,51,"2,501",4.70%
"Marion County, IN",18,97,2019,December,12,52,"2,733",7.60%
,,,,,,,,
This table was produced by Indiana Department of Workforce Development - Research and Analysis :7/12/2021 11:48:11 PM,,,,,,,,
