IDWD Research and Analysis,,,,,,,,
,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,
,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same~br~Week Last Year
"Marion County, IN",18,97,2019,January,1,1,530,-28.30%
"Marion County, IN",18,97,2019,January,1,2,751,-3.80%
"Marion County, IN",18,97,2019,January,1,3,632,17.30%
"Marion County, IN",18,97,2019,January,1,4,474,-12.20%
"Marion County, IN",18,97,2019,February,2,5,522,11.10%
"Marion County, IN",18,97,2019,February,2,6,453,-9.40%
"Marion County, IN",18,97,2019,February,2,7,419,5.80%
"Marion County, IN",18,97,2019,February,2,8,383,5.80%
"Marion County, IN",18,97,2019,March,3,9,310,-22.30%
"Marion County, IN",18,97,2019,March,3,10,350,-11.80%
"Marion County, IN",18,97,2019,March,3,11,304,-24.00%
"Marion County, IN",18,97,2019,March,3,12,300,-19.80%
"Marion County, IN",18,97,2019,March,3,13,260,-25.90%
"Marion County, IN",18,97,2019,April,4,14,353,-26.90%
"Marion County, IN",18,97,2019,April,4,15,355,-18.00%
"Marion County, IN",18,97,2019,April,4,16,322,-11.50%
"Marion County, IN",18,97,2019,April,4,17,336,3.40%
"Marion County, IN",18,97,2019,May,5,18,343,0.00%
"Marion County, IN",18,97,2019,May,5,19,305,-18.70%
"Marion County, IN",18,97,2019,May,5,20,325,-11.20%
"Marion County, IN",18,97,2019,May,5,21,295,-23.00%
"Marion County, IN",18,97,2019,June,6,22,324,6.20%
"Marion County, IN",18,97,2019,June,6,23,365,-16.30%
"Marion County, IN",18,97,2019,June,6,24,338,-37.30%
"Marion County, IN",18,97,2019,June,6,25,347,-13.90%
"Marion County, IN",18,97,2019,June,6,26,329,-3.20%
"Marion County, IN",18,97,2019,July,7,27,285,-26.40%
"Marion County, IN",18,97,2019,July,7,28,421,6.90%
"Marion County, IN",18,97,2019,July,7,29,327,-2.70%
"Marion County, IN",18,97,2019,July,7,30,304,-9.50%
"Marion County, IN",18,97,2019,August,8,31,337,-4.00%
"Marion County, IN",18,97,2019,August,8,32,349,-0.90%
"Marion County, IN",18,97,2019,August,8,33,300,-18.50%
"Marion County, IN",18,97,2019,August,8,34,289,4.70%
"Marion County, IN",18,97,2019,August,8,35,290,-19.20%
"Marion County, IN",18,97,2019,September,9,36,291,-7.00%
"Marion County, IN",18,97,2019,September,9,37,325,-1.80%
"Marion County, IN",18,97,2019,September,9,38,346,1.20%
"Marion County, IN",18,97,2019,September,9,39,281,10.60%
"Marion County, IN",18,97,2019,October,10,40,341,6.20%
"Marion County, IN",18,97,2019,October,10,41,394,0.00%
"Marion County, IN",18,97,2019,October,10,42,378,7.70%
"Marion County, IN",18,97,2019,October,10,43,318,3.20%
"Marion County, IN",18,97,2019,November,11,44,319,5.30%
"Marion County, IN",18,97,2019,November,11,45,384,-3.50%
"Marion County, IN",18,97,2019,November,11,46,367,-16.60%
"Marion County, IN",18,97,2019,November,11,47,399,37.10%
"Marion County, IN",18,97,2019,November,11,48,244,-48.20%
"Marion County, IN",18,97,2019,December,12,49,417,-5.90%
"Marion County, IN",18,97,2019,December,12,50,567,26.00%
"Marion County, IN",18,97,2019,December,12,51,481,11.30%
"Marion County, IN",18,97,2019,December,12,52,371,-8.40%
,,,,,,,,
This table was produced by Indiana Department of Workforce Development - Research and Analysis :7/12/2021 11:47:13 PM,,,,,,,,
