X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-85.9909730001905,39.8223239999663,7073,Mitthoefer Rd & John Marshall Dr N,10004,39.822324,-85.990973
-85.9920389998203,39.8263510002798,7074,38th St & Mitthoefer Rd,10005,39.826351,-85.992039
-85.9950859994702,39.8262819999097,7155,38th St & Strathmore Dr,10006,39.826282,-85.995086
-86.0006900005505,39.8262280004485,7156,38th St & Parliament Ln,10008,39.826228,-86.00069
-86.0050409995797,39.8261769995844,7157,38th St & Wittfield St,10009,39.826177,-86.005041
-86.0081340004794,39.8261619996779,7158,38th St & Post Rd,10011,39.826162,-86.008134
-86.0119300001769,39.8261560003179,7159,38th St & Post Rd - Northeastwood,10012,39.826156,-86.01193
-86.0136319994658,39.8261130001197,7160,38th St & Biscayne Rd,10013,39.826113,-86.013632
-86.0178400001446,39.8260589998265,7161,38th St & Marseille Rd,10015,39.826059,-86.01784
-86.0199050000176,39.8260720002358,7162,38th St & Alsace Pl,10016,39.826072,-86.019905
-86.0221800000753,39.8260349996962,7163,38th St & Harvest Ave,10017,39.826035,-86.02218
-85.990998000421,39.826905999591,7164,Mitthoefer Rd - 3900 N,10019,39.826906,-85.990998
-85.9910710000594,39.8288960001452,7165,Mitthoefer Rd & Catalina Dr,10020,39.828896,-85.991071
-85.9910939999485,39.8307189999477,7166,Mitthoefer Rd & Montery Rd,10021,39.830719,-85.991094
-85.9911210002089,39.8325409999452,7167,Mitthoefer Rd & Ellis Dr,10022,39.832541,-85.991121
-85.9920200002016,39.8337139999064,7168,42nd St & Mitthoefer Rd,10023,39.833714,-85.99202
-85.9972610001123,39.8336280001861,7169,42nd St & Burrwood Dr,10024,39.833628,-85.997261
-85.9992090003734,39.8335640000065,7170,42nd St & Baker Dr,10025,39.833564,-85.999209
-86.0016370001198,39.8335350000691,7171,42nd St & Stouffer Ln,10026,39.833535,-86.001637
-86.003537999831,39.8335160001889,7172,42nd St & Cordell St,10027,39.833516,-86.003538
-86.004613999609,39.8334970001503,7173,42nd St & Wittfield St,10028,39.833497,-86.004614
-86.0096270001065,39.8334760001412,7174,42nd St & Post Rd,10030,39.833476,-86.009627
