ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
46786,0,0,0
46930,0,0,0
46957,0,0,0
46961,0,0,0
46967,0,0,0
46155,0,0,0
46290,0,0,0
46393,0,0,0
46595,0,0,0
46781,0,0,0
47431,0,0,0
47467,0,0,0
47522,0,0,0
47536,0,0,0
47537,0,0,0
46345,0,0,0
46376,0,0,0
46381,0,0,0
46537,0,0,0
47224,0,0,0
47382,0,0,0
47388,0,0,0
47437,0,0,0
47574,0,0,0
47580,0,0,0
46144,0,0,0
46183,0,0,0
47263,0,0,0
47282,0,0,0
47335,0,0,0
47994,0,0,0
46103,0,0,0
46348,0,0,0
46377,0,0,0
46379,0,0,0
47654,0,0,0
47860,0,0,0
46111,0,0,0
46117,0,0,0
46127,0,0,0
47361,0,0,0
47367,0,0,0
47381,0,0,0
47420,0,0,0
47455,0,0,0
47837,0,0,0
47855,0,0,0
47861,0,0,0
47866,0,0,0
47983,0,0,0
47884,0,0,0
47924,0,0,0
47925,0,0,0
47969,0,0,0
47982,0,0,0
46984,0,0,0
47016,0,0,0
47104,0,0,0
47114,0,0,0
47354,0,0,0
47162,0,0,0
47226,0,0,0
47524,0,0,0
47596,0,0,0
47612,0,0,0
47034,0,0,0
47035,0,0,0
47434,0,0,0
47464,0,0,0
47869,0,0,0
47836,0,0,0
47853,0,0,0
47863,0,0,0
47871,0,0,0
47880,0,0,0
47458,0,0,0
47519,0,0,0
47552,0,0,0
47576,0,0,0
47683,0,0,0
46502,0,0,0
46771,0,0,0
46922,0,0,0
46968,0,0,0
46998,0,0,0
46731,0,0,0
46799,0,0,0
46920,0,0,0
46943,0,0,0
47123,0,0,0
46958,0,0,0
47160,0,0,0
47247,0,0,0
47337,0,0,0
47344,0,0,0
47616,0,0,0
47980,0,0,0
46104,0,0,0
46110,0,0,0
46125,0,0,0
47907,0,0,0
47916,0,0,0
47997,0,0,0
46045,0,0,0
46047,0,0,0
47529,0,0,0
47578,0,0,0
47584,0,0,0
47597,0,0,0
47876,0,0,0
47386,0,0,0
47453,0,0,0
47528,0,0,0
47550,0,0,0
47568,0,0,0
46988,0,0,0
47010,0,0,0
47036,0,0,0
47270,0,0,0
47280,0,0,0
47325,0,0,0
47385,180,1612,11.1662
47449,0,0,0
47451,0,0,0
47465,0,0,0
46150,0,0,0
46791,0,0,0
46913,0,0,0
46959,0,0,0
46987,0,0,0
46915,0,0,0
46931,0,0,0
47116,0,0,0
47120,0,0,0
47351,0,0,0
46063,0,0,0
46146,0,0,0
46508,0,0,0
46704,0,0,0
46946,0,0,0
47854,0,0,0
47881,0,0,0
47955,0,0,0
47958,0,0,0
47981,0,0,0
46759,0,0,0
46974,139,1699,8.1812
47011,0,0,0
47017,0,0,0
47110,0,0,0
47147,0,0,0
47163,149,1746,8.5337
47231,0,0,0
47264,0,0,0
47324,0,0,0
47470,149,1735,8.5878
47514,237,1559,15.202
47525,0,0,0
47535,0,0,0
47575,0,0,0
47590,0,0,0
47640,0,0,0
47849,0,0,0
47857,0,0,0
47942,0,0,0
47345,0,0,0
47352,0,0,0
47515,0,0,0
47531,0,0,0
47561,167,1588,10.5163
47949,0,0,0
47964,0,0,0
47965,0,0,0
46057,0,0,0
46058,324,2149,15.0767
47991,0,0,0
46039,0,0,0
46171,133,1695,7.8466
46524,184,2326,7.9105
46705,163,1583,10.2969
47588,0,0,0
47649,0,0,0
47833,0,0,0
47840,153,1500,10.2
47858,0,0,0
47339,0,0,0
47342,238,2693,8.8377
47369,0,0,0
47387,0,0,0
47468,0,0,0
46049,0,0,0
46133,0,0,0
46147,316,3264,9.6813
