objectid,description,identifier,latitude,longitude
10267,Troy Ave & State Ave,53234,39.722992,-86.131393
8733,18th St & Harding St,50382,39.791172,-86.186829
10301,Main St & 13th Ave,53274,39.721673,-86.096872
7589,10th St & Fenton Ave,10779,39.781917,-86.018228
8817,25th St & Hillside Ave,50511,39.803489,-86.12377
8341,Troy Ave & Collier St,12450,39.720407,-86.230891
9017,Washington St & Foltz St,50806,39.759496,-86.228311
9081,MLK St & 17th St,50906,39.78965,-86.168356
8907,Meijer E Washington St,50674,39.775034,-85.962239
9553,21st St & Marianne Ave,51707,39.796567,-86.040435
8157,30th St & Tyrone Dr,12207,39.809917,-86.204736
7301,38th St & Franklin Rd,10242,39.825779,-86.02591
7272,38th St & Elizabeth St,10209,39.825659,-86.052011
8645,Capitol Ave & 32nd St,50164,39.813881,-86.161551
7256,38th St & Sherman Dr,10183,39.825294,-86.102402
9652,16th St & Pleasant Run Pkwy S Dr,51888,39.789029,-86.052888
8418,Albany St & 18th Ave,12571,39.723441,-86.103432
7431,34th St & Colorado Ave,10460,39.818216,-86.095355
9332,Michigan St & Highland Ave,51250,39.774344,-86.13704
7953,Keystone Ave & 65th St,11808,39.876153,-86.122299
10354,Emerson Ave & Copper Lane,53343,39.676952,-86.082501
8170,Georgetown Rd & Patricia St,12223,39.81096,-86.239857
9122,Michigan Rd - 8000 N,50957,39.899405,-86.216731
8658,Capitol Ave & Michigan St,50190,39.774448,-86.161532
7717,Westhaven Dr & Private Dr,10942,39.827121,-86.271736
7342,38th St & Eagle Creek Pkwy,10322,39.823441,-86.282417
10539,5501 E 82nd St,86015,39.905031,-86.074234
10350,Emerson Ave & Rosegate,53339,39.656559,-86.082446
10208,Prospect St & Pleasant Run Pkwy N Dr,53110,39.752462,-86.118983
8008,Keystone Ave & Cahoun Ct,11877,39.740214,-86.121048
7871,Redfern Dr & Strawbridge St,11708,39.700757,-86.098885
10285,Emerson Ave & Elenor - Walmart,53256,39.698387,-86.082604
9212,MLK St & 10th St,51060,39.781242,-86.168428
7216,38th St & Coliseum Ave,10091,39.825564,-86.136637
7745,10th St & Whitcomb Ave,10977,39.77993,-86.256788
10516,Raymond Station SB,70046,39.73718,-86.139793
9544,21st St & Sussex Ln,51690,39.796839,-86.005484
9923,Illinois St & 52nd St,52553,39.846891,-86.159502
9716,College Ave & Nottingham Ct,52027,39.885264,-86.145743
9878,Central Ave & 34th St,52419,39.81803,-86.149758
7772,10th St & Lynhurst Dr,11009,39.779937,-86.249974
8364,Raymond St & Sherman Dr,12506,39.738077,-86.102415
7462,33rd St & Mesilla Ct,10519,39.816661,-86.015271
8400,Raymond St & I-65,12551,39.737514,-86.13478
7297,Mitthoefer Rd & 38th St,10238,39.825986,-85.99115
8626,42nd St & Campbell Ave,50123,39.833059,-86.066185
9171,Township Line Rd & Camwood Dr,51012,39.884455,-86.203106
7274,38th St & Shadeland Ave,10211,39.825687,-86.045417
9048,Washington St & Burke Ave,50845,39.732609,-86.316168
8986,Washington St & Rockville Rd,50767,39.762869,-86.219356
7497,34th St & Dearborn St,10567,39.818203,-86.112037
8180,34th St & Scarlet Ct,12234,39.816505,-86.257443
7857,College Ave & 22nd St,11646,39.79782,-86.144841
7592,10th St & Post Rd,10782,39.782013,-86.008977
7537,10th St & Woodruff Pl Middle D,10711,39.781282,-86.128697
7168,42nd St & Mitthoefer Rd,10023,39.833714,-85.99202
8977,Washington St & Belmont Ave,50758,39.766354,-86.196646
7866,09th Ave & Andrea Dr,11703,39.696659,-86.091884
7783,10th St & Centennial St,11023,39.780528,-86.213282
10341,Emerson Ave & Stop 11 Rd,53329,39.652542,-86.08277
7675,10th St & Pershing Ave,10890,39.780796,-86.199307
