zipcode,shapearea,shapelen,patient_count,population,percentage
46234,321598574,143685.0023,2994,24810,12.0677
46107,82345580,81819.34892,1338,12774,10.4744
46208,186343873.1,97051.73759,2061,22239,9.2675
46241,695471417.8,182857.5374,2954,30670,9.6315
46228,223360606.1,80306.16985,1392,14755,9.434
46077,735445771.4,125920.259,3133,24512,12.7814
46205,179509793.7,101533.8764,2589,25356,10.2106
46240,287495252.8,99800.12954,1861,18731,9.9354
46217,591959764.2,142234.4771,4396,29358,14.9737
46202,168341611.1,121518.2139,2270,16335,13.8965
46219,374999709.7,128436.3169,3263,33930,9.6168
46259,476534270,145721.5258,1540,11617,13.2564
46221,574863227.4,189648.9572,2764,26393,10.4724
46203,397018588.7,186008.3107,3552,38950,9.1193
46239,810593263.1,186837.8974,3766,25345,14.8589
46260,284634374.7,103972.2545,3146,32406,9.708
46236,319837238.4,164876.4095,2764,27294,10.1267
46250,214458891.5,78326.37205,1939,18546,10.455
46237,409400525.9,149170.2553,5192,39624,13.1031
46254,357039568.2,115904.8834,4011,38095,10.5289
46229,309081253.7,119436.1998,2850,27262,10.4541
46113,424166779.7,127628.2668,1793,14063,12.7497
46278,370758033.2,112515.4842,840,8197,10.2476
46225,118999630.8,77056.70595,579,7319,7.9109
46226,388365899,136832.0879,3870,43904,8.8146
46183,3460276.694,10770.6734,0,0,0
46268,362476021.6,117095.4116,2475,24965,9.9138
46227,459306604,120461.2451,6865,57086,12.0257
46222,323397157.4,108768.1141,3557,34044,10.4482
46224,197734277.3,82196.55877,3961,35094,11.2868
46204,32335908.16,54438.82834,1288,5125,25.1317
46216,95557744.84,48925.65634,205,1697,12.0801
46214,206317137,97621.43316,2785,24306,11.458
46231,321704805.9,144265.4911,1236,10440,11.839
46256,358264009.6,150516.9846,2221,23647,9.3923
46220,339448508.6,125021.3664,3385,34830,9.7186
46201,152681363.6,75221.66413,2604,30962,8.4103
46235,244469989.3,132947.3558,3198,30825,10.3746
46218,267966448.2,102742.8217,2532,29028,8.7226
46206,716080.3324,3856.189747,0,0,0
