index,year,month,timeframe,month_code,week,continued_claims,cont_pct_change_same_wk_last_year,init_claims,init_pct_change_same_wk_last_year
0,2018,January,2018 January,1,1,3133,-26.10%,739,-7.00%
1,2018,January,2018 January,1,2,3238,-26.90%,781,-0.50%
2,2018,January,2018 January,1,3,3290,-27.60%,539,-15.30%
3,2018,January,2018 January,1,4,3323,-28.00%,540,-12.30%
4,2018,February,2018 February,2,5,3360,-27.30%,470,-14.10%
5,2018,February,2018 February,2,6,3469,-25.60%,500,-5.70%
6,2018,February,2018 February,2,7,3545,-23.40%,396,-10.00%
7,2018,February,2018 February,2,8,3523,-22.00%,362,-13.20%
8,2018,March,2018 March,3,9,3388,-23.50%,399,-8.30%
9,2018,March,2018 March,3,10,3233,-25.00%,397,-14.30%
10,2018,March,2018 March,3,11,3160,-25.70%,400,3.60%
11,2018,March,2018 March,3,12,3057,-26.20%,374,-9.70%
12,2018,March,2018 March,3,13,3070,-24.50%,351,-16.20%
13,2018,April,2018 April,4,14,3054,-21.90%,483,-19.50%
14,2018,April,2018 April,4,15,2941,-21.90%,433,-1.10%
15,2018,April,2018 April,4,16,2874,-22.10%,364,-18.90%
16,2018,April,2018 April,4,17,2851,-22.40%,325,-37.50%
17,2018,May,2018 May,5,18,2692,-27.10%,343,-33.30%
18,2018,May,2018 May,5,19,2647,-26.30%,375,-25.60%
19,2018,May,2018 May,5,20,2598,-26.40%,366,-26.70%
20,2018,May,2018 May,5,21,2556,-23.70%,383,-14.30%
21,2018,June,2018 June,6,22,2578,-9.40%,305,-20.40%
22,2018,June,2018 June,6,23,2522,-11.10%,436,4.60%
23,2018,June,2018 June,6,24,2599,-6.00%,539,30.20%
24,2018,June,2018 June,6,25,2695,-0.50%,403,3.90%
25,2018,June,2018 June,6,26,2573,-4.20%,340,-14.40%
26,2018,July,2018 July,7,27,2622,-5.40%,387,-18.70%
27,2018,July,2018 July,7,28,2621,-6.50%,394,-18.30%
28,2018,July,2018 July,7,29,2553,-9.80%,336,-25.00%
29,2018,July,2018 July,7,30,2540,-7.70%,336,-21.70%
30,2018,August,2018 August,8,31,2502,-8.70%,351,-20.40%
31,2018,August,2018 August,8,32,2515,-9.10%,352,-17.00%
32,2018,August,2018 August,8,33,2378,-13.50%,368,-10.90%
33,2018,August,2018 August,8,34,2414,-12.90%,276,-33.70%
34,2018,September,2018 September,9,35,2410,-9.00%,359,-11.60%
35,2018,September,2018 September,9,36,2385,-10.20%,313,-12.60%
36,2018,September,2018 September,9,37,2347,-8.00%,331,-6.50%
37,2018,September,2018 September,9,38,2326,-9.60%,342,-5.30%
38,2018,September,2018 September,9,39,2322,-9.20%,254,-26.40%
39,2018,October,2018 October,10,40,2298,-8.10%,321,-26.40%
40,2018,October,2018 October,10,41,2257,-11.80%,394,-0.50%
41,2018,October,2018 October,10,42,2242,-12.20%,351,-2.50%
42,2018,October,2018 October,10,43,2264,-10.10%,308,-22.40%
43,2018,November,2018 November,11,44,2269,-9.90%,303,-26.30%
44,2018,November,2018 November,11,45,2286,-10.10%,398,-14.40%
45,2018,November,2018 November,11,46,2091,-11.20%,440,-7.20%
46,2018,November,2018 November,11,47,2277,-9.10%,291,-8.80%
47,2018,December,2018 December,12,48,2239,-12.00%,471,3.70%
48,2018,December,2018 December,12,49,2287,-12.50%,443,-7.70%
49,2018,December,2018 December,12,50,2442,-11.50%,450,-21.60%
50,2018,December,2018 December,12,51,2389,-12.20%,432,-21.70%
