IDWD Research and Analysis,,,,,,,,
,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,
,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Continued Claims,Pct. Change from Same~br~Week Last Year
"Marion County, IN",18,97,2018,January,1,1,"3,133",-26.10%
"Marion County, IN",18,97,2018,January,1,2,"3,238",-26.90%
"Marion County, IN",18,97,2018,January,1,3,"3,290",-27.60%
"Marion County, IN",18,97,2018,January,1,4,"3,323",-28.00%
"Marion County, IN",18,97,2018,February,2,5,"3,360",-27.30%
"Marion County, IN",18,97,2018,February,2,6,"3,469",-25.60%
"Marion County, IN",18,97,2018,February,2,7,"3,545",-23.40%
"Marion County, IN",18,97,2018,February,2,8,"3,523",-22.00%
"Marion County, IN",18,97,2018,March,3,9,"3,388",-23.50%
"Marion County, IN",18,97,2018,March,3,10,"3,233",-25.00%
"Marion County, IN",18,97,2018,March,3,11,"3,160",-25.70%
"Marion County, IN",18,97,2018,March,3,12,"3,057",-26.20%
"Marion County, IN",18,97,2018,March,3,13,"3,070",-24.50%
"Marion County, IN",18,97,2018,April,4,14,"3,054",-21.90%
"Marion County, IN",18,97,2018,April,4,15,"2,941",-21.90%
"Marion County, IN",18,97,2018,April,4,16,"2,874",-22.10%
"Marion County, IN",18,97,2018,April,4,17,"2,851",-22.40%
"Marion County, IN",18,97,2018,May,5,18,"2,692",-27.10%
"Marion County, IN",18,97,2018,May,5,19,"2,647",-26.30%
"Marion County, IN",18,97,2018,May,5,20,"2,598",-26.40%
"Marion County, IN",18,97,2018,May,5,21,"2,556",-23.70%
"Marion County, IN",18,97,2018,June,6,22,"2,578",-9.40%
"Marion County, IN",18,97,2018,June,6,23,"2,522",-11.10%
"Marion County, IN",18,97,2018,June,6,24,"2,599",-6.00%
"Marion County, IN",18,97,2018,June,6,25,"2,695",-0.50%
"Marion County, IN",18,97,2018,June,6,26,"2,573",-4.20%
"Marion County, IN",18,97,2018,July,7,27,"2,622",-5.40%
"Marion County, IN",18,97,2018,July,7,28,"2,621",-6.50%
"Marion County, IN",18,97,2018,July,7,29,"2,553",-9.80%
"Marion County, IN",18,97,2018,July,7,30,"2,540",-7.70%
"Marion County, IN",18,97,2018,August,8,31,"2,502",-8.70%
"Marion County, IN",18,97,2018,August,8,32,"2,515",-9.10%
"Marion County, IN",18,97,2018,August,8,33,"2,378",-13.50%
"Marion County, IN",18,97,2018,August,8,34,"2,414",-12.90%
"Marion County, IN",18,97,2018,September,9,35,"2,410",-9.00%
"Marion County, IN",18,97,2018,September,9,36,"2,385",-10.20%
"Marion County, IN",18,97,2018,September,9,37,"2,347",-8.00%
"Marion County, IN",18,97,2018,September,9,38,"2,326",-9.60%
"Marion County, IN",18,97,2018,September,9,39,"2,322",-9.20%
"Marion County, IN",18,97,2018,October,10,40,"2,298",-8.10%
"Marion County, IN",18,97,2018,October,10,41,"2,257",-11.80%
"Marion County, IN",18,97,2018,October,10,42,"2,242",-12.20%
"Marion County, IN",18,97,2018,October,10,43,"2,264",-10.10%
"Marion County, IN",18,97,2018,November,11,44,"2,269",-9.90%
"Marion County, IN",18,97,2018,November,11,45,"2,286",-10.10%
"Marion County, IN",18,97,2018,November,11,46,"2,091",-11.20%
"Marion County, IN",18,97,2018,November,11,47,"2,277",-9.10%
"Marion County, IN",18,97,2018,December,12,48,"2,239",-12.00%
"Marion County, IN",18,97,2018,December,12,49,"2,287",-12.50%
"Marion County, IN",18,97,2018,December,12,50,"2,442",-11.50%
"Marion County, IN",18,97,2018,December,12,51,"2,389",-12.20%
"Marion County, IN",18,97,2018,December,12,52,"2,539",-14.70%
,,,,,,,,
This table was produced by Indiana Department of Workforce Development - Research and Analysis :7/12/2021 11:46:27 PM,,,,,,,,
