IDWD Research and Analysis,,,,,,,,
,,,,,,,,
Unemployment Insurance (UI) Claims,,,,,,,,
,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same~br~Week Last Year
"Marion County, IN",18,97,2020,January,1,1,453,-14.50%
"Marion County, IN",18,97,2020,January,1,2,591,-21.30%
"Marion County, IN",18,97,2020,January,1,3,468,-25.90%
"Marion County, IN",18,97,2020,January,1,4,420,-11.40%
"Marion County, IN",18,97,2020,February,2,5,416,-20.30%
"Marion County, IN",18,97,2020,February,2,6,410,-9.50%
"Marion County, IN",18,97,2020,February,2,7,382,-8.80%
"Marion County, IN",18,97,2020,February,2,8,348,-9.10%
"Marion County, IN",18,97,2020,February,2,9,324,4.50%
"Marion County, IN",18,97,2020,March,3,10,298,-14.90%
"Marion County, IN",18,97,2020,March,3,11,425,39.80%
"Marion County, IN",18,97,2020,March,3,12,"10,173",3291.00%
"Marion County, IN",18,97,2020,March,3,13,"13,546",5110.00%
"Marion County, IN",18,97,2020,April,4,14,"13,603",3753.50%
"Marion County, IN",18,97,2020,April,4,15,"15,285",4205.60%
"Marion County, IN",18,97,2020,April,4,16,"10,510",3164.00%
"Marion County, IN",18,97,2020,April,4,17,"8,493",2427.70%
"Marion County, IN",18,97,2020,May,5,18,"7,596",2114.60%
"Marion County, IN",18,97,2020,May,5,19,"5,377",1663.00%
"Marion County, IN",18,97,2020,May,5,20,"5,844",1698.20%
"Marion County, IN",18,97,2020,May,5,21,"5,240",1676.30%
"Marion County, IN",18,97,2020,May,5,22,"4,572",1311.10%
"Marion County, IN",18,97,2020,June,6,23,"4,650",1174.00%
"Marion County, IN",18,97,2020,June,6,24,"5,308",1470.40%
"Marion County, IN",18,97,2020,June,6,25,"6,507",1775.20%
"Marion County, IN",18,97,2020,June,6,26,"11,115",3278.40%
"Marion County, IN",18,97,2020,July,7,27,"4,633",1525.60%
"Marion County, IN",18,97,2020,July,7,29,"5,322",1527.50%
"Marion County, IN",18,97,2020,July,7,30,"6,338",1984.90%
"Marion County, IN",18,97,2020,August,8,31,"2,925",768.00%
"Marion County, IN",18,97,2020,August,8,32,"2,193",528.40%
"Marion County, IN",18,97,2020,August,8,33,"2,741",813.70%
"Marion County, IN",18,97,2020,August,8,34,"2,276",687.50%
"Marion County, IN",18,97,2020,August,8,35,"2,177",650.70%
"Marion County, IN",18,97,2020,September,9,36,"2,515",764.30%
"Marion County, IN",18,97,2020,September,9,37,"2,899",792.00%
"Marion County, IN",18,97,2020,September,9,38,"3,080",790.20%
"Marion County, IN",18,97,2020,September,9,39,"2,494",787.50%
"Marion County, IN",18,97,2020,October,10,40,"2,277",567.70%
"Marion County, IN",18,97,2020,October,10,41,"17,133",4248.50%
"Marion County, IN",18,97,2020,October,10,42,"4,190",1008.50%
"Marion County, IN",18,97,2020,October,10,43,"3,015",848.10%
"Marion County, IN",18,97,2020,October,10,44,"2,655",732.30%
"Marion County, IN",18,97,2020,November,11,45,"2,665",594.00%
"Marion County, IN",18,97,2020,November,11,46,"2,932",698.90%
"Marion County, IN",18,97,2020,November,11,47,"3,771",845.10%
"Marion County, IN",18,97,2020,November,11,48,"3,951",1519.30%
"Marion County, IN",18,97,2020,December,12,49,"7,213",1629.70%
"Marion County, IN",18,97,2020,December,12,50,"4,819",749.90%
"Marion County, IN",18,97,2020,December,12,51,"3,068",537.80%
"Marion County, IN",18,97,2020,December,12,52,"2,501",574.10%
,,,,,,,,
This table was produced by Indiana Department of Workforce Development - Research and Analysis :7/12/2021 11:52:17 PM,,,,,,,,
