,year,month,timeframe,month_code,week,continued_claims,cont_pct_change_same_wk_last_year,init_claims,init_pct_change_same_wk_last_year
0,2018,January,2018 January,1.0,1.0,3133,-26.10%,739.0,-7.00%
1,2018,January,2018 January,1.0,2.0,3238,-26.90%,781.0,-0.50%
2,2018,January,2018 January,1.0,3.0,3290,-27.60%,539.0,-15.30%
3,2018,January,2018 January,1.0,4.0,3323,-28.00%,540.0,-12.30%
4,2018,February,2018 February,2.0,5.0,3360,-27.30%,470.0,-14.10%
5,2018,February,2018 February,2.0,6.0,3469,-25.60%,500.0,-5.70%
6,2018,February,2018 February,2.0,7.0,3545,-23.40%,396.0,-10.00%
7,2018,February,2018 February,2.0,8.0,3523,-22.00%,362.0,-13.20%
8,2018,March,2018 March,3.0,9.0,3388,-23.50%,399.0,-8.30%
9,2018,March,2018 March,3.0,10.0,3233,-25.00%,397.0,-14.30%
10,2018,March,2018 March,3.0,11.0,3160,-25.70%,400.0,3.60%
11,2018,March,2018 March,3.0,12.0,3057,-26.20%,374.0,-9.70%
12,2018,March,2018 March,3.0,13.0,3070,-24.50%,351.0,-16.20%
13,2018,April,2018 April,4.0,14.0,3054,-21.90%,483.0,-19.50%
14,2018,April,2018 April,4.0,15.0,2941,-21.90%,433.0,-1.10%
15,2018,April,2018 April,4.0,16.0,2874,-22.10%,364.0,-18.90%
16,2018,April,2018 April,4.0,17.0,2851,-22.40%,325.0,-37.50%
17,2018,May,2018 May,5.0,18.0,2692,-27.10%,343.0,-33.30%
18,2018,May,2018 May,5.0,19.0,2647,-26.30%,375.0,-25.60%
19,2018,May,2018 May,5.0,20.0,2598,-26.40%,366.0,-26.70%
20,2018,May,2018 May,5.0,21.0,2556,-23.70%,383.0,-14.30%
21,2018,June,2018 June,6.0,22.0,2578,-9.40%,305.0,-20.40%
22,2018,June,2018 June,6.0,23.0,2522,-11.10%,436.0,4.60%
23,2018,June,2018 June,6.0,24.0,2599,-6.00%,539.0,30.20%
24,2018,June,2018 June,6.0,25.0,2695,-0.50%,403.0,3.90%
25,2018,June,2018 June,6.0,26.0,2573,-4.20%,340.0,-14.40%
26,2018,July,2018 July,7.0,27.0,2622,-5.40%,387.0,-18.70%
27,2018,July,2018 July,7.0,28.0,2621,-6.50%,394.0,-18.30%
28,2018,July,2018 July,7.0,29.0,2553,-9.80%,336.0,-25.00%
29,2018,July,2018 July,7.0,30.0,2540,-7.70%,336.0,-21.70%
30,2018,August,2018 August,8.0,31.0,2502,-8.70%,351.0,-20.40%
31,2018,August,2018 August,8.0,32.0,2515,-9.10%,352.0,-17.00%
32,2018,August,2018 August,8.0,33.0,2378,-13.50%,368.0,-10.90%
33,2018,August,2018 August,8.0,34.0,2414,-12.90%,276.0,-33.70%
34,2018,September,2018 September,9.0,35.0,2410,-9.00%,359.0,-11.60%
35,2018,September,2018 September,9.0,36.0,2385,-10.20%,313.0,-12.60%
36,2018,September,2018 September,9.0,37.0,2347,-8.00%,331.0,-6.50%
37,2018,September,2018 September,9.0,38.0,2326,-9.60%,342.0,-5.30%
38,2018,September,2018 September,9.0,39.0,2322,-9.20%,254.0,-26.40%
39,2018,October,2018 October,10.0,40.0,2298,-8.10%,321.0,-26.40%
40,2018,October,2018 October,10.0,41.0,2257,-11.80%,394.0,-0.50%
41,2018,October,2018 October,10.0,42.0,2242,-12.20%,351.0,-2.50%
42,2018,October,2018 October,10.0,43.0,2264,-10.10%,308.0,-22.40%
43,2018,November,2018 November,11.0,44.0,2269,-9.90%,303.0,-26.30%
44,2018,November,2018 November,11.0,45.0,2286,-10.10%,398.0,-14.40%
45,2018,November,2018 November,11.0,46.0,2091,-11.20%,440.0,-7.20%
46,2018,November,2018 November,11.0,47.0,2277,-9.10%,291.0,-8.80%
47,2018,December,2018 December,12.0,48.0,2239,-12.00%,471.0,3.70%
48,2018,December,2018 December,12.0,49.0,2287,-12.50%,443.0,-7.70%
49,2018,December,2018 December,12.0,50.0,2442,-11.50%,450.0,-21.60%
50,2018,December,2018 December,12.0,51.0,2389,-12.20%,432.0,-21.70%
51,2018,December,2018 December,12.0,52.0,2539,-14.70%,405.0,-29.20%
52,2019,January,2019 January,1.0,1.0,2653,-15.30%,530.0,-28.30%
53,2019,January,2019 January,1.0,2.0,2703,-16.50%,751.0,-3.80%
54,2019,January,2019 January,1.0,3.0,2902,-11.80%,632.0,17.30%
55,2019,January,2019 January,1.0,4.0,3006,-9.50%,474.0,-12.20%
56,2019,February,2019 February,2.0,5.0,3043,-9.40%,522.0,11.10%
57,2019,February,2019 February,2.0,6.0,3074,-11.40%,453.0,-9.40%
