SiteSystem_Name,SiteSystem_Description,SiteSystem_HoursOfOperation,SiteAddressus_SiteAddressus_address_1,SiteAddressus_SiteAddressus_address_2,SiteAddressus_SiteAddressus_city,SiteAddressus_SiteAddressus_county,SiteAddressus_SiteAddressus_state,SiteAddressus_SiteAddressus_zip,SiteAddressus_SiteAddressus_country,SiteAddressus_SiteAddressus_notes,SiteAddressus_SiteAddressus_latitude,SiteAddressus_SiteAddressus_longitude,SiteSystem_Websiteurl,SiteCustom_Phone1,SiteCustom_Phone1Type
Catholic Charities Indianapolis,"A faith-based organization ""working with individuals, families and communities to help them meet their needs, overcome obstacles, eliminate oppression, and build a just and compassionate society.""",Mon-Thurs 8:30am-5pm,1400 North Meridian Street,,Indianapolis,Marion,IN,46202,US,14th and Meridian Streets,39.786231,-86.1581999,www.helpcreatehope.org,317-236-1500,
A Caring Place,"The location of an adult day services program operated by Catholic Charities, a faith-based nonprofit agency.",Mon-Fri 7:30am-5:30pm,4609 NORTH CAPITOL AVENUE,,INDIANAPOLIS,MARION,IN,46208,US,,39.8398156,-86.1609483,www.helpcreatehope.org,317-466-0015,
Catholic Charities - Caregiver Support Services,"The location of a caregiver support group provided by Catholic Charities of Indianapolis, a faith-based nonprofit organization.",Monthly 3rd Mon 5:30pm,541 EAST EDGEWOOD AVENUE,Saint Mark Catholic School,INDIANAPOLIS,MARION,IN,46227,US,,39.6787302,-86.1470606,www.helpcreatehope.org,317-261-3378,
Catholic Charities Crisis,"A faith-based organization ""working with individuals, families and communities to help them meet their needs, overcome obstacles, eliminate oppression, and build a just and compassionate society.""",Mon 1pm-2 pm and 5pm-6pm; Tues-Thurs 10am-11am and 1pm-2pm,1435 NORTH ILLINOIS STREET,,INDIANAPOLIS,MARION,IN,46202,US,Corner of 14th & Illinois.,39.7865465,-86.1590802,www.helpcreatehope.org,317-236-1512,
Holy Family Shelter,"A homeless family shelter operated by Catholic Charities, a faith-based nonprofit organization.",Daily 8am-8pm,907 NORTH HOLMES AVENUE,,INDIANAPOLIS,MARION,IN,46222,US,,39.7790928,-86.2049695,www.holyfamilyshelter.net,317-635-7830,x 5
Saint Elizabeth/Coleman,"An international adoption placement agency under the direction of Catholic Charities, a faith-based nonprofit organization.",Mon-Fri 9:30am-4:30pm,2500 CHURCHMAN AVENUE,,INDIANAPOLIS,MARION,IN,46203,US,,39.7331756,-86.1155765,www.givingbirthtohope.org,317-787-3412,
Catholic Charities - Education Center,"The location of citizenship classes provided by Catholic Charities, a faith-based nonprofit agency.",Mon-Thurs 8:30am-5:30pm,8228 MADISON AVENUE,,INDIANAPOLIS,MARION,IN,46227,US,,39.6462409,-86.1211102,www.helpcreatehope.org,317-236-1526,
Catholic Charities  - Caregiver Support Services,"The location of a caregiver support group provided by Catholic Charities of Indianapolis, a faith-based nonprofit organization.",Monthly 4th Thur 5:30pm,1100 WEST 42ND STREET,Indiana Interchurch Center,INDIANAPOLIS,MARION,IN,46208,US,,39.8301237,-86.1823677,www.helpcreatehope.org,317-466-0015,
Westminster Neighborhood Services - State Avenue,,,445 NORTH STATE AVENUE,,INDIANAPOLIS,MARION,IN,46201,US,,39.7732259,-86.1303243,www.westmin.org,,
Westminster Neighborhood Services - New York Street,"A faith-based, non-profit agency providing youth and adult programs on the near east side of Indianapolis with the following mission: ""Facilitating God's transformation of the Westminster neighborhood.""",,2325 EAST NEW YORK STREET,,INDIANAPOLIS,MARION,IN,46201,US,,39.771414,-86.122142,www.westmin.org,,
WHEELER MISSION MINISTRIES,"A non-denominational, Christian social services organization that provides goods and services to the homeless, poor, and needy.",,205 East New York Street,,Indianapolis,Marion,IN,46204,US,,39.7710273,-86.1539126,www.wheelermission.org,317-635-3575,Administrative Office
Wheeler Mission Thrift Store,"A thrift store operated by a non-denominational, Christian social services organization that provides goods and services to the homeless, poor, and needy.",,2730 MADISON AVENUE,,INDIANAPOLIS,MARION,IN,46225,US,,39.7265307,-86.1527995,www.wheelermission.org/our-work/work-enterprises,317-791-9186,
Wheeler Mission Center For Women And Children,"A women's shelter operated by a non-denominational, Christian social services organization that provides goods and services to the homeless, poor, and needy.",,3208 EAST MICHIGAN STREET,,INDIANAPOLIS,MARION,IN,46201,US,,39.774885,-86.1104045,www.wheelermission.org,317-687-3630,
Wheeler Mission Men's Residential Center,"A residential substance-abuse location for men operated by a non-denominational, Christian social services organization that provides goods and services to the homeless, poor, and needy.",,245 NORTH DELAWARE STREET,,INDIANAPOLIS,MARION,IN,46204,US,,39.7709275,-86.1539324,www.wheelermission.org,317-636-2720,
Wheeler Mission Shelter For Men,"The location of a men's homeless shelter operated by a non-denominational, Christian social services organization that provides goods and services to the homeless, poor, and needy.",,520 EAST MARKET STREET,,INDIANAPOLIS,MARION,IN,46204,US,,39.7685876,-86.1481878,www.wheelermission.org,317-687-6795,Ext. 1
Central Christian Church,A church that operates Christian outreach programs including food and clothing pantries.,,701 NORTH DELAWARE STREET,,INDIANAPOLIS,MARION,IN,46204,US,,39.7768808,-86.153515,www.indyccc.org,317-635-6397,
Chapel Rock Christian Church,,,2020 North Girls School Road,,Indianapolis,Marion,IN,46214,US,,39.7928895,-86.290953,www.chapelrock.org,,
